Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,
"Jung E.H., Jeon N.J., Park E.Y., Moon C.S., Shin T.J., Yang T.-Y., Noh J.H., Seo J.","Efficient, stable and scalable perovskite solar cells using poly(3-hexylthiophene)",2019,Nature,567,7749,,511,515,,699,10.1038/s41586-019-1036-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063609624&doi=10.1038%2fs41586-019-1036-3&partnerID=40&md5=81f1085895e25bba30cffa564e527661,
"Arute F., Arya K., Babbush R., Bacon D., Bardin J.C., Barends R., Biswas R., Boixo S., Brandao F.G.S.L., Buell D.A., Burkett B., Chen Y., Chen Z., Chiaro B., Collins R., Courtney W., Dunsworth A., Farhi E., Foxen B., Fowler A., Gidney C., Giustina M., Graff R., Guerin K., Habegger S., Harrigan M.P., Hartmann M.J., Ho A., Hoffmann M., Huang T., Humble T.S., Isakov S.V., Jeffrey E., Jiang Z., Kafri D., Kechedzhi K., Kelly J., Klimov P.V., Knysh S., Korotkov A., Kostritsa F., Landhuis D., Lindmark M., Lucero E., Lyakh D., Mandrà S., McClean J.R., McEwen M., Megrant A., Mi X., Michielsen K., Mohseni M., Mutus J., Naaman O., Neeley M., Neill C., Niu M.Y., Ostby E., Petukhov A., Platt J.C., Quintana C., Rieffel E.G., Roushan P., Rubin N.C., Sank D., Satzinger K.J., Smelyanskiy V., Sung K.J., Trevithick M.D., Vainsencher A., Villalonga B., White T., Yao Z.J., Yeh P., Zalcman A., Neven H., Martinis J.M.",Quantum supremacy using a programmable superconducting processor,2019,Nature,574,7779,,505,510,,572,10.1038/s41586-019-1666-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074074842&doi=10.1038%2fs41586-019-1666-5&partnerID=40&md5=ddc76b65ffe99d1e406abdb021e9d7bc,
"Anzalone A.V., Randolph P.B., Davis J.R., Sousa A.A., Koblan L.W., Levy J.M., Chen P.J., Wilson C., Newby G.A., Raguram A., Liu D.R.",Search-and-replace genome editing without double-strand breaks or donor DNA,2019,Nature,576,7785,,149,157,,417,10.1038/s41586-019-1711-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074571375&doi=10.1038%2fs41586-019-1711-4&partnerID=40&md5=2e27f1118459ebc5ac3266037473740a,
"Reichstein M., Camps-Valls G., Stevens B., Jung M., Denzler J., Carvalhais N., Prabhat",Deep learning and process understanding for data-driven Earth system science,2019,Nature,566,7743,,195,204,,332,10.1038/s41586-019-0912-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061562147&doi=10.1038%2fs41586-019-0912-1&partnerID=40&md5=55a35fde411a68990646597345f6d8ac,
"Bai S., Da P., Li C., Wang Z., Yuan Z., Fu F., Kawecki M., Liu X., Sakai N., Wang J.T.-W., Huettner S., Buecheler S., Fahlman M., Gao F., Snaith H.J.",Planar perovskite solar cells with long-term stability using ionic liquid additives,2019,Nature,571,7764,,245,250,,264,10.1038/s41586-019-1357-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068889971&doi=10.1038%2fs41586-019-1357-2&partnerID=40&md5=ff95ff7f47acef8a71f2baba443d0dcb,
"Keskin D.B., Anandappa A.J., Sun J., Tirosh I., Mathewson N.D., Li S., Oliveira G., Giobbie-Hurder A., Felt K., Gjini E., Shukla S.A., Hu Z., Li L., Le P.M., Allesøe R.L., Richman A.R., Kowalczyk M.S., Abdelrahman S., Geduldig J.E., Charbonneau S., Pelton K., Iorgulescu J.B., Elagina L., Zhang W., Olive O., McCluskey C., Olsen L.R., Stevens J., Lane W.J., Salazar A.M., Daley H., Wen P.Y., Chiocca E.A., Harden M., Lennon N.J., Gabriel S., Getz G., Lander E.S., Regev A., Ritz J., Neuberg D., Rodig S.J., Ligon K.L., Suvà M.L., Wucherpfennig K.W., Hacohen N., Fritsch E.F., Livak K.J., Ott P.A., Wu C.J., Reardon D.A.",Neoantigen vaccine generates intratumoral T cell responses in phase Ib glioblastoma trial,2019,Nature,565,7738,,234,239,,264,10.1038/s41586-018-0792-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059785792&doi=10.1038%2fs41586-018-0792-9&partnerID=40&md5=21f3d61cb32c6a978b62ad7fea62b417,
"Andersen S.Z., Čolić V., Yang S., Schwalbe J.A., Nielander A.C., McEnaney J.M., Enemark-Rasmussen K., Baker J.G., Singh A.R., Rohr B.A., Statt M.J., Blair S.J., Mezzavilla S., Kibsgaard J., Vesborg P.C.K., Cargnello M., Bent S.F., Jaramillo T.F., Stephens I.E.L., Nørskov J.K., Chorkendorff I.",A rigorous electrochemical ammonia synthesis protocol with quantitative isotope measurements,2019,Nature,570,7762,,504,508,,254,10.1038/s41586-019-1260-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068084279&doi=10.1038%2fs41586-019-1260-x&partnerID=40&md5=8f21f20aa99f8d7130600985b4b91592,
"Ghandi M., Huang F.W., Jané-Valbuena J., Kryukov G.V., Lo C.C., McDonald E.R., III, Barretina J., Gelfand E.T., Bielski C.M., Li H., Hu K., Andreev-Drakhlin A.Y., Kim J., Hess J.M., Haas B.J., Aguet F., Weir B.A., Rothberg M.V., Paolella B.R., Lawrence M.S., Akbani R., Lu Y., Tiv H.L., Gokhale P.C., de Weck A., Mansour A.A., Oh C., Shih J., Hadi K., Rosen Y., Bistline J., Venkatesan K., Reddy A., Sonkin D., Liu M., Lehar J., Korn J.M., Porter D.A., Jones M.D., Golji J., Caponigro G., Taylor J.E., Dunning C.M., Creech A.L., Warren A.C., McFarland J.M., Zamanighomi M., Kauffmann A., Stransky N., Imielinski M., Maruvka Y.E., Cherniack A.D., Tsherniak A., Vazquez F., Jaffe J.D., Lane A.A., Weinstock D.M., Johannessen C.M., Morrissey M.P., Stegmeier F., Schlegel R., Hahn W.C., Getz G., Mills G.B., Boehm J.S., Golub T.R., Garraway L.A., Sellers W.R.",Next-generation characterization of the Cancer Cell Line Encyclopedia,2019,Nature,569,7757,,503,508,,249,10.1038/s41586-019-1186-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065525804&doi=10.1038%2fs41586-019-1186-3&partnerID=40&md5=210cc0732c4c5c637ec8c04b53b710d5,
"Tran K., Moody G., Wu F., Lu X., Choi J., Kim K., Rai A., Sanchez D.A., Quan J., Singh A., Embley J., Zepeda A., Campbell M., Autry T., Taniguchi T., Watanabe K., Lu N., Banerjee S.K., Silverman K.L., Kim S., Tutuc E., Yang L., MacDonald A.H., Li X.",Evidence for moiré excitons in van der Waals heterostructures,2019,Nature,567,7746,,71,75,,238,10.1038/s41586-019-0975-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062586426&doi=10.1038%2fs41586-019-0975-z&partnerID=40&md5=4fc5fd9d76f847ecc99e6cb170795fb1,
"Cao J., Spielmann M., Qiu X., Huang X., Ibrahim D.M., Hill A.J., Zhang F., Mundlos S., Christiansen L., Steemers F.J., Trapnell C., Shendure J.",The single-cell transcriptional landscape of mammalian organogenesis,2019,Nature,566,7745,,496,502,,225,10.1038/s41586-019-0969-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062419120&doi=10.1038%2fs41586-019-0969-x&partnerID=40&md5=a53b968371c312bdef6c2601ab88eb3f,
